blockNumber,timestamp,transactionHash,from,to,value,address,tokenName,decimals,,tokenPrice
19145545,1706935487,0xaff7d8b69877c41879dfa4c3fc526364046e2519f4067c2722527c56c301d471,0x432606324a349474072fe136df3c99c4eca070e5,0x3a23f943181408eac424116af7b7790c94cb97a5,899751324,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.999498
19145555,1706935619,0xbe2e6096ee988129e3c59c62aeba77ff8fce2121304d1ae9e5df3f7b345d78ae,0x89bb933d84678112bc68069820d1d16da7f12b40,0x3a23f943181408eac424116af7b7790c94cb97a5,772878816,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.999498
19145610,1706936315,0x14075f3078462cf5c6ffafaa2ee5f2c810d05efa10474e7a9972d1d52760f759,0x7afa306a1acabb5527c7b9c0042f171711809698,0x3a23f943181408eac424116af7b7790c94cb97a5,37086272798311370896,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.796851
19145661,1706936975,0xcb53ba5b656ce361510560c35debe870c47b0534fe520d84f98f54d7128edfaf,0x00000000009726632680fb29d3f7a9734e3010e2,0x3a23f943181408eac424116af7b7790c94cb97a5,18494657484383471794,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.796355
19145674,1706937155,0x86f46c31090fef5c24b1729669acf738b4d7082921c857c14e635f92c88fb85f,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,0x3a23f943181408eac424116af7b7790c94cb97a5,382591904051435214228,0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,18,,17.73
19145716,1706937683,0x4b65e9b872a0e52d5c5d4191ca17633fc202157ed0b9762c50a41e0f761760df,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x3a23f943181408eac424116af7b7790c94cb97a5,4868506244071688055,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,Liquid staked Ether 2.0,18,,2324.57
19145730,1706937851,0xb6f082032fca84b024348560d7951d1f4cdf6dedb9f4b1a840a287a556924c3b,0x67e5ab5b573f01030a1076dda7a79ef0f31a1bfa,0x3a23f943181408eac424116af7b7790c94cb97a5,324985981,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.999494
19145781,1706938487,0x7bcec65664b54b5ddc2e5c6d1c9009ae52ff929c3eb7cc5552ab1e1601da59d8,0x89bb933d84678112bc68069820d1d16da7f12b40,0x3a23f943181408eac424116af7b7790c94cb97a5,3074289875,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.999532
19145796,1706938679,0x0ebf1f421a03f518efa1bd8695f2102d22ebd3563e0b17046a3ad1e44efa3f2b,0xcf6ffd58c3c3e72b07bff2cd578573f5ecaf0280,0x3a23f943181408eac424116af7b7790c94cb97a5,30000000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,0.999691
19145842,1706939243,0x23d0e21bf1cc906633594565351117f0fa9398dfcdf146af669f389ce1bd5244,0xf005bc919b57dc1a95070a614c0d51a2897d11ff,0x3a23f943181408eac424116af7b7790c94cb97a5,199500000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,18,,2321.36
19145870,1706939579,0x7dac1a8fc6bbc7038c56b3e36ef38702aa16672f0ae87f2d3b2e9935efb8e0b2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x3a23f943181408eac424116af7b7790c94cb97a5,18386826,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,1
19145884,1706939747,0x1aa3a03309804ecdd59ad3056c43b8ef8d4c00cc290bb373f52ddeb0d6dc4284,0x85e1ea0debbb9c20967f4872126235181c354774,0x3a23f943181408eac424116af7b7790c94cb97a5,49650000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,1
19145912,1706940083,0xf177567467fda4787f669d790949ba11b30f2d577594951ae65c868c5104fda6,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x3a23f943181408eac424116af7b7790c94cb97a5,377496811,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.999835
19146045,1706941691,0x4b7a9c9f5566366052907e38043b729866d2b5d863bda344cd20dcdbdea08032,0xce8025f2fbbe0840565793a229942e438efda67a,0x3a23f943181408eac424116af7b7790c94cb97a5,3902404523,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.999211
19146063,1706941907,0xec5707aedc065554da402f732f7a12cef2879048659c04f87f3e95b058447a62,0xfb74196eccf35a260dd5cfd300baa37ae058b6c0,0x3a23f943181408eac424116af7b7790c94cb97a5,79992968611,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,0.999841
19146069,1706941979,0x55f29c1296421d014cae5a293840ee23653c44c502388ed1fee4fbe9e08480ba,0xa9dd61a197c9a14ee68b2dc632c8e3b9258aca09,0x3a23f943181408eac424116af7b7790c94cb97a5,49729626267658405,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,18,,2321.62
19146079,1706942111,0xcf3196c0ada8f199eab1c69a6eb74107e814f43c17ecc77d6f5d6ee3c538a81c,0x5f27adbc873e3b5b60e9dda0d3d039cb4c21f370,0x3a23f943181408eac424116af7b7790c94cb97a5,42000237997,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,0.999803
19146094,1706942291,0x78a4858e75a407071196d7189992f49a5d7c741ceb45bc455b5f8b23c6190907,0x9a47f3289794e9bbc6a3c571f6d96ad4e7baed16,0x3a23f943181408eac424116af7b7790c94cb97a5,28335618000000000000,0x455e53CBB86018Ac2B8092FdCd39d8444aFFC3F6,Polygon Ecosystem Token,18,,0.799494
19146094,1706942291,0x78a4858e75a407071196d7189992f49a5d7c741ceb45bc455b5f8b23c6190907,0x290a6a7460b308ee3f19023d2d00de604bcf5b42,0x3a23f943181408eac424116af7b7790c94cb97a5,28580404258533241758,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.7951
19146103,1706942399,0xf0940e2ec73d6cff5d5126bd4449b6fe0179cb268fece5a9c35f0d2aad41f800,0x3ad0f14720660e0646ee72ff945c9a0f250c27eb,0x3a23f943181408eac424116af7b7790c94cb97a5,65482020433079761376,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.7951
19146105,1706942423,0x6e7e16465f2005bee6f6a13ffd6659c74ad452ddf4862d13bebbcffe844a99a8,0xd9037bbd69aafbd3f31c9c8f57bc918fc0fb2404,0x3a23f943181408eac424116af7b7790c94cb97a5,98753000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,0.999587
19146123,1706942639,0x426f7746e73d33b0aa0c80f2b7c8f58ccaaf7b33f117864f91c06e40e6335f70,0x15981a5f44d3f5f822e9e1d5f0f7d98e161a4b54,0x3a23f943181408eac424116af7b7790c94cb97a5,19860000,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.999766
